photo_name,photo_url,caption,family_quotes,used,date_used
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je na?e prv? zrkadlo, v ktorom sa u??me, k?m sme.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Dokonal? rodina neexistuje, ale prav? ?no.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Sila rodiny sa nemeria vo ve?k?ch gest?ch, ale v tich?ch istot?ch.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je miesto, kde sa u??me odp???a? a by? odpusten?.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"V rodine sa u??me, ?e l?ska nie je em?cia, ale rozhodnutie.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Spolo?n? smiech pri stole je lepidlom, ktor? dr?? rodinu pokope.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je tich? s?ub, ?e nikdy nebudeme kr??a? sami.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"V rodine sa del?me o jedlo, priestor a hlavne o ?ivot.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Najsilnej?ie put? s? tie, ktor? nepotrebuj? slov?.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Rodina je na?a kotva v neist?ch ?asoch.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Ka?d? rodina m? svoj vlastn?, neverejn? jazyk.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je zbierka pr?behov, ktor? si budeme nav?dy pam?ta?.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,V rodine sa u??me najd?le?itej?iu lekciu: patri? niekam.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Prav? rodina za??na tam, kde kon?? posudzovanie.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Rodina je bezpe?n?m pr?stavom pre na?e nedokonalosti.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Sila rodiny spo??va v schopnosti pre?i? spolu aj zl? dni.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je jedin? kritika, ktor? je mienen? s l?skou.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Ka?dodenn? ritu?ly s? nevidite?nou silou rodiny.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je miestom, kde sa aj ticho st?va spolo?nou re?ou.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"V rodine sa u??me, ?e sila nie je v jednotlivcovi, ale v jednote.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Rodina je ?iv? kni?nica m?drosti na?ich predkov.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,V hlase rodiny po?ujeme ozveny gener?ci?.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je prv? t?m, ktor?ho sme kedy boli s??as?ou.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Najlep?ie rozhovory sa ?asto odohr?vaj? v kuchyni.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je d?vod, pre?o bojujeme, aj ke? sme unaven?.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"V rodine sa u??me, ?e kompromis nie je prehra, ale v??azstvo.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je miestom, kde je na?a minulos? pochopen? a bud?cnos? v?tan?.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Sila rodiny je v jej schopnosti za?a? ka?d? de? odznova.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,V rodine sme viac ako len s??et na?ich ?ast?.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je miestom, kde sa m??eme smia? najhlasnej?ie a plaka? najbezpe?nej?ie.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,V rodine sa u??me umeniu trpezlivosti.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodinn? put? sa ?asom a vzdialenos?ou nepretrhn?, len natiahnu.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Ka?dodenn? ritu?ly s? nevidite?nou silou rodiny.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"V rodine sa u??me, ?e skuto?n? hodnota sa nemeria v peniazoch.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Rodina je na?a prv? a najd?le?itej?ia ?kola ?ivota.,FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Najpevnej?ie mosty s? tie, ktor? stavaj? medzi sebou ?lenovia rodiny.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"V rodine sa u??me, ?e ticho m??e by? formou podpory.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,"Rodina je miestom, kde sa u??me pada? a op?? vsta?.",FALSE,
your_photo_name,https://res.cloudinary.com/../name..jpg,your comment,Ka?d? ?len rodiny dr?? k?sok spolo?nej du?e.,FALSE,
